City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Victoria,HK,87.96,broken clouds,22.2855,114.1577,Mini Hotel Central
2,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
3,Odweyne,SO,88.99,scattered clouds,9.4092,45.064,Eng Hiirey House
4,Siedlce,PL,74.89,few clouds,52.1677,22.2901,Hotel Arche
5,Bengkulu,ID,77.7,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Cape Town,ZA,84.61,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
8,Manadhoo,MV,83.14,scattered clouds,5.7667,73.3833,Vevu Guesthouse
10,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
12,Ilyich,KZ,88.07,clear sky,40.8464,68.5067,Aul Madeniyet
15,Marawi,PH,69.66,overcast clouds,7.9986,124.2928,Derogongan Residence
19,Ribas Do Rio Pardo,BR,70.79,moderate rain,-20.4431,-53.7592,Pousada Avenida
21,Hithadhoo,MV,83.41,scattered clouds,-0.6,73.0833,Scoop Guest House
22,Isiro,CD,83.98,overcast clouds,2.7739,27.616,Guest House Hewa Bora
23,Vila Franca Do Campo,PT,75.61,clear sky,37.7167,-25.4333,Pestana Bahia Praia
26,Bandarbeyla,SO,84.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
29,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Oceano
31,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
33,Punjai Puliyampatti,IN,85.24,overcast clouds,11.35,77.2,Josiyar thottam
34,Saint-Philippe,RE,76.55,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
36,Falun,SE,73.94,scattered clouds,60.6036,15.626,First Hotel Grand
37,Banepa,NP,71.92,light rain,27.6298,85.5214,Dhulikhel Lodge Resort
39,Cidreira,BR,62.24,scattered clouds,-30.1811,-50.2056,Hotel Castelo
42,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
44,Mikhaylovka,RU,73.26,broken clouds,50.06,43.2379,5 Komnat
45,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Hermanus,ZA,75.79,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
47,Moultrie,US,73.04,overcast clouds,31.1799,-83.7891,Moultrie Inn
49,Salalah,OM,80.69,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
50,Cockburn Town,TC,81.77,clear sky,21.4612,-71.1419,Osprey Beach Hotel
51,Port Alfred,ZA,69.08,broken clouds,-33.5906,26.891,The Halyards Hotel
53,Bykovo,RU,65.1,broken clouds,55.6361,38.0803,Around the world
