,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chuy,UY,-33.6971,-53.4616,51.89,91,98,13.65,overcast clouds
1,Victoria,HK,22.2855,114.1577,87.96,78,56,3.0,broken clouds
2,Port Elizabeth,ZA,-33.918,25.5701,75.09,64,0,18.41,clear sky
3,Odweyne,SO,9.4092,45.064,88.99,28,48,19.13,scattered clouds
4,Siedlce,PL,52.1677,22.2901,74.89,43,11,8.86,few clouds
5,Bengkulu,ID,-3.8004,102.2655,77.7,85,49,10.09,scattered clouds
6,Rakke,EE,58.9817,26.2544,71.91,52,12,13.2,few clouds
7,Cape Town,ZA,-33.9258,18.4232,84.61,26,0,6.91,clear sky
8,Manadhoo,MV,5.7667,73.3833,83.14,70,48,8.16,scattered clouds
9,Qaanaaq,GL,77.484,-69.3632,19.13,69,100,7.11,overcast clouds
10,Georgetown,MY,5.4112,100.3354,82.35,84,20,1.01,few clouds
11,Sistranda,NO,63.7256,8.834,57.16,81,92,11.21,overcast clouds
12,Ilyich,KZ,40.8464,68.5067,88.07,19,0,13.98,clear sky
13,Jalu,LY,29.0331,21.5482,91.92,23,0,17.45,clear sky
14,Miracema Do Tocantins,BR,-9.5618,-48.3967,90.91,20,17,9.28,few clouds
15,Marawi,PH,7.9986,124.2928,69.66,92,100,5.21,overcast clouds
16,Camacupa,AO,-12.0167,17.4833,92.64,17,4,5.86,clear sky
17,Upernavik,GL,72.7868,-56.1549,30.25,82,100,6.42,overcast clouds
18,Dikson,RU,73.5069,80.5464,42.98,80,14,9.71,few clouds
19,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,70.79,74,92,9.8,moderate rain
20,Ilulissat,GL,69.2167,-51.1,33.82,80,75,16.11,light rain
21,Hithadhoo,MV,-0.6,73.0833,83.41,67,45,3.65,scattered clouds
22,Isiro,CD,2.7739,27.616,83.98,53,88,4.76,overcast clouds
23,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,64,7,7.11,clear sky
24,Shakawe,BW,-18.3667,21.85,95.9,12,84,7.63,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,35.71,75,0,9.22,clear sky
26,Bandarbeyla,SO,9.4942,50.8122,84.29,60,91,31.5,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,42.46,65,0,0.0,clear sky
28,Nesna,NO,66.1967,13.0213,55.92,64,63,10.13,broken clouds
29,Inhambane,MZ,-23.865,35.3833,80.58,57,40,13.8,scattered clouds
30,Lebu,CL,-37.6167,-73.65,50.61,82,100,14.07,overcast clouds
31,Cabedelo,BR,-6.9811,-34.8339,83.07,71,65,14.76,broken clouds
32,Baherden,TM,38.4362,57.4316,85.14,24,0,6.2,clear sky
33,Punjai Puliyampatti,IN,11.35,77.2,85.24,51,99,7.14,overcast clouds
34,Saint-Philippe,RE,-21.3585,55.7679,76.55,76,19,8.99,few clouds
35,Taoudenni,ML,22.6783,-3.9836,111.45,9,0,19.89,clear sky
36,Falun,SE,60.6036,15.626,73.94,62,40,6.42,scattered clouds
37,Banepa,NP,27.6298,85.5214,71.92,83,75,4.61,light rain
