City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mar Del Plata,-38.0023,-57.5575,51.82,100,90,18.41,AR,2021-09-08 08:09:09
1,Tasiilaq,65.6145,-37.6368,44.76,57,0,12.1,GL,2021-09-08 08:16:14
2,Nanortalik,60.1432,-45.2371,44.98,70,100,3.6,GL,2021-09-08 08:16:14
3,Ihosy,-22.4,46.1167,80.89,34,0,3.2,MG,2021-09-08 08:16:15
4,Vardo,70.3705,31.1107,41.2,75,75,6.91,NO,2021-09-08 08:16:15
5,Tres Arroyos,-38.3739,-60.2798,48.76,96,100,19.57,AR,2021-09-08 08:16:15
6,Port Elizabeth,-33.918,25.5701,69.1,63,0,5.75,ZA,2021-09-08 08:16:16
7,Pichayevo,53.2363,42.2032,60.67,47,100,14.56,RU,2021-09-08 08:16:16
8,La Rioja,42.25,-2.5,66.04,53,84,0.65,ES,2021-09-08 08:16:17
9,Narsaq,60.9167,-46.05,41.22,59,88,3.8,GL,2021-09-08 08:16:17
10,Beachwood,41.4645,-81.5087,72.91,72,90,1.01,US,2021-09-08 08:15:50
11,Umm Kaddadah,13.6017,26.6876,87.28,48,100,7.36,SD,2021-09-08 08:16:17
12,Zurrieq,35.8311,14.4742,78.96,57,20,4.61,MT,2021-09-08 08:16:18
13,Arraial Do Cabo,-22.9661,-42.0278,69.01,81,91,22.37,BR,2021-09-08 08:16:18
14,Upernavik,72.7868,-56.1549,33.91,66,100,13.13,GL,2021-09-08 08:16:18
15,Busselton,-33.65,115.3333,68.09,88,81,12.66,AU,2021-09-08 08:16:19
16,Bilma,18.6853,12.9164,91.11,37,65,4.65,NE,2021-09-08 08:16:19
17,Nouadhibou,20.931,-17.0347,73.38,88,10,3.44,MR,2021-09-08 08:16:20
18,Nova Vicosa,-17.8919,-39.3719,72.23,87,100,9.48,BR,2021-09-08 08:16:20
19,Kulhudhuffushi,6.6221,73.07,82.53,71,100,13.51,MV,2021-09-08 08:16:21
20,Rawson,-43.3002,-65.1023,48.85,89,2,4.27,AR,2021-09-08 08:16:21
21,Jamestown,42.097,-79.2353,71.19,84,90,7.0,US,2021-09-08 08:16:21
22,Brae,60.3964,-1.353,57.11,93,99,9.6,GB,2021-09-08 08:16:22
23,Mahebourg,-20.4081,57.7,73.69,68,75,14.97,MU,2021-09-08 08:16:22
24,Berga,60.392,5.328,62.65,95,90,9.22,NO,2021-09-08 08:16:22
25,Sao Geraldo Do Araguaia,-6.4006,-48.555,74.71,79,3,3.89,BR,2021-09-08 08:16:23
26,Fairmont,39.4851,-80.1426,68.58,94,18,4.81,US,2021-09-08 08:16:23
27,Cape Town,-33.9258,18.4232,61.12,82,20,1.99,ZA,2021-09-08 08:14:50
28,Ushuaia,-54.8,-68.3,40.84,90,95,9.28,AR,2021-09-08 08:11:32
29,Victoria,22.2855,114.1577,89.65,72,28,9.37,HK,2021-09-08 08:14:35
30,Macusani,-14.0833,-70.4333,36.64,86,50,4.32,PE,2021-09-08 08:16:24
31,Longyearbyen,78.2186,15.6401,35.44,60,75,2.3,SJ,2021-09-08 08:16:25
32,Sao Felix Do Xingu,-6.6447,-51.995,70.61,96,6,1.99,BR,2021-09-08 08:16:25
33,Hithadhoo,-0.6,73.0833,82.99,71,44,6.78,MV,2021-09-08 08:16:26
34,Lebu,-37.6167,-73.65,44.91,82,0,4.32,CL,2021-09-08 08:16:26
35,Talnakh,69.4865,88.3972,53.04,55,100,4.81,RU,2021-09-08 08:16:26
36,Eydhafushi,5.1033,73.0708,82.74,69,99,11.7,MV,2021-09-08 08:16:27
37,Paracuru,-3.41,-39.0306,78.12,77,99,13.78,BR,2021-09-08 08:16:27
38,Paragominas,-2.9667,-47.4833,69.39,99,25,2.84,BR,2021-09-08 08:16:28
39,Hermanus,-34.4187,19.2345,60.91,74,3,4.0,ZA,2021-09-08 08:16:28
40,Ribeira Grande,38.5167,-28.7,68.4,88,40,3.44,PT,2021-09-08 08:16:28
41,Hoyerswerda,51.4333,14.25,70.25,72,33,6.04,DE,2021-09-08 08:16:29
42,Saint-Augustin,51.226,-58.6502,54.93,89,85,12.35,CA,2021-09-08 08:16:29
43,Bengkulu,-3.8004,102.2655,77.95,85,100,6.96,ID,2021-09-08 08:16:29
44,Saint Anthony,45.0205,-93.218,63.82,65,1,8.01,US,2021-09-08 08:16:30
45,Touros,-5.1989,-35.4608,72.5,88,55,10.71,BR,2021-09-08 08:15:25
46,Mpika,-11.8343,31.4529,78.46,31,0,11.34,ZM,2021-09-08 08:16:31
47,Qaanaaq,77.484,-69.3632,12.65,69,26,9.24,GL,2021-09-08 08:16:31
48,Dikson,73.5069,80.5464,44.17,80,100,14.0,RU,2021-09-08 08:16:31
49,Ostrovnoy,68.0531,39.5131,43.72,67,98,2.46,RU,2021-09-08 08:16:32
50,La Macarena,2.1837,-73.7849,69.51,99,100,0.92,CO,2021-09-08 08:16:32
51,Souillac,-20.5167,57.5167,73.78,68,75,14.97,MU,2021-09-08 08:16:33
52,Saint-Leu,-21.15,55.2833,76.06,62,34,3.6,RE,2021-09-08 08:16:33
53,Aksarka,66.5606,67.7975,48.87,51,95,12.93,RU,2021-09-08 08:16:33
54,East London,-33.0153,27.9116,63.77,45,0,4.29,ZA,2021-09-08 08:16:34
55,Krasnoborsk,61.5598,45.934,51.55,88,94,8.63,RU,2021-09-08 08:16:34
56,Tabou,4.423,-7.3528,77.79,86,21,2.53,CI,2021-09-08 08:16:34
57,Lukovetskiy,64.2956,41.9211,49.98,99,100,7.52,RU,2021-09-08 08:16:35
58,Punta Arenas,-53.15,-70.9167,44.71,70,0,12.66,CL,2021-09-08 08:15:20
59,Havelock,34.8791,-76.9013,77.95,95,32,3.38,US,2021-09-08 08:16:35
60,Mamlyutka,54.9375,68.5394,57.22,41,64,13.15,KZ,2021-09-08 08:16:36
